Organization Name: Organization Name,Request 18 Digit ID,Investment Proposal Name,Description,Due Date,Investment Proposal Record Type,Deliverable,Deliverable ID,ETEN Ivest June 30
"The Wycliffe Seed Company, Inc.",006Uq0000081c1pIAA,MLQAs for Accelerated Quality Assurance,Engage two external/independent programs to equip MLQAs at a scale appropriate to prepare a workforce to tackle the oncoming rush of Old Testament translation.,2025-12-31,Quality Assurance,B-000002849,a0xUq000000RIDl,
"The Wycliffe Seed Company, Inc.",006Uq0000081c1pIAA,MLQAs for Accelerated Quality Assurance,Pilot the Quality Assurance Communities approach in at least three diverse locations where we can convene approximately 25 people per language.,2025-12-31,Quality Assurance,B-000003302,a0xUq000000WLXZ,
"The Wycliffe Seed Company, Inc.",006Uq000008wo6HIAQ,Systemic Organizational Development,Partner-Clients achieve 15% YOY growth in organizational translation portfolio.,2025-12-31,Organizational Development,B-000003196,a0xUq000000WBBd,
unfoldingWord,006Uq000008fU8nIAE,2025 - Global Church-Centric Bible Translation (CCBT) Forum,"Q1: Confirm venue, date, and participant count.",2025-03-31,Quality Assurance,B-000003005,a0xUq000000VXhF,
unfoldingWord,006Uq000008fU8nIAE,2025 - Global Church-Centric Bible Translation (CCBT) Forum,Q2: Confirm attendance list and gather contact information.,2025-06-30,Quality Assurance,B-000003006,a0xUq000000VXir,
unfoldingWord,006Uq000008fU8nIAE,2025 - Global Church-Centric Bible Translation (CCBT) Forum,Q2: Send save-the-date invitations to all participants.,2025-06-30,Quality Assurance,B-000003007,a0xUq000000VXkT,
unfoldingWord,006Uq000008fU8nIAE,2025 - Global Church-Centric Bible Translation (CCBT) Forum,Q3: Forum agenda and speakers are confirmed.,2025-09-30,Quality Assurance,B-000003008,a0xUq000000VXm5,
unfoldingWord,006Uq000008fU8nIAE,2025 - Global Church-Centric Bible Translation (CCBT) Forum,Q3: Travel arrangements and visas are secured.,2025-09-30,Quality Assurance,B-000003009,a0xUq000000VXqv,
unfoldingWord,006Uq000008fU8nIAE,2025 - Global Church-Centric Bible Translation (CCBT) Forum,Q4: Host 2025 Global CCBT Forum.,2025-12-31,Quality Assurance,B-000003010,a0xUq000000VXsX,
unfoldingWord,006Uq000008fU8nIAE,2025 - Global Church-Centric Bible Translation (CCBT) Forum,"Q4: We will craft and implement an After Action Review (AAR), a case study to analyze real-world topics in depth. Based upon exit surveys and qualitative interviews completed by forum participants, the aim is to gain insight year-over-year and to set benchmarks for attitudinal and behavioral change in participants? knowledge, skills, and intentions regarding implementing CCBT in their respective regions. Areas of focus may include but are not limited to: participant working understanding of CCBT principles and methodologies, key learnings implemented by practitioners, technology and tools utilization expertise, understanding partnerships formed, and deepening perspectives and theoretical insights about the features of these broader geographic challenges and societal patterns of these populations. This will benefit all alliance partners, bolster holistic understandings, and contribute to unfoldingWord?s library of resources and scholarly works (including the CBBT.BIBLE website in partnership with iLab).",2025-12-31,Quality Assurance,B-000003011,a0xUq000000VXu9,
unfoldingWord,006Uq000008gpr7IAA,2025 - Whole Bible for the Whole Nation of Vietnam,Q1: The minority language teams for Roglai and Mnong-Rlam will start the audio production of the New Testament (NT) in partnership with DAVAR and begin distribution of the audio NT in their heart languages.,2025-03-31,Quality Assurance,B-000003046,a0xUq000000Vc5p,
unfoldingWord,006Uq000008gpr7IAA,2025 - Whole Bible for the Whole Nation of Vietnam,Q1: Translation of the Gospels into Ho Chi Minh Sign Language by the Deaf team will produce 30 new videos.,2025-03-31,Quality Assurance,B-000003047,a0xUq000000Vc93,
unfoldingWord,006Uq000008gpr7IAA,2025 - Whole Bible for the Whole Nation of Vietnam,"Q2: Translation of OT resources into Vietnamese will begin for Leviticus, Deuteronomy, Joshua, and Judges.",2025-06-30,Quality Assurance,B-000003048,a0xUq000000VcCH,
unfoldingWord,006Uq000008gpr7IAA,2025 - Whole Bible for the Whole Nation of Vietnam,"Q2: The minority language teams for Trinh, Chrau, and Pacoh will start the audio production of the NT in partnership with DAVAR and begin distribution of the audio NT in their heart languages.",2025-06-30,Quality Assurance,B-000003049,a0xUq000000VcDt,
unfoldingWord,006Uq000008gpr7IAA,2025 - Whole Bible for the Whole Nation of Vietnam,Q2: Enhancement release of the VietBible Software version 1.2,2025-06-30,Quality Assurance,B-000003050,a0xUq000000VcFV,
unfoldingWord,006Uq000008gpr7IAA,2025 - Whole Bible for the Whole Nation of Vietnam,"Q2: One (1) training event (two days) in theological formation, tools, technologies, and translation processes for minority languages teams from Muong, Kor, and Mnong-Rlam church communities.",2025-06-30,Quality Assurance,B-000003051,a0xUq000000VcH7,
unfoldingWord,006Uq000008gpr7IAA,2025 - Whole Bible for the Whole Nation of Vietnam,Q3: Completion of NT translation for Tai Dam and Nung minority languages,2025-09-30,Quality Assurance,B-000003052,a0xUq000000VcIj,
unfoldingWord,006Uq000008gpr7IAA,2025 - Whole Bible for the Whole Nation of Vietnam,"Q3: FEBC will recruit, form, and train six (6) new AAG minority language teams on translation processes and tools (Maa, Phuong, Todrah, Halang, Tày, and Hanoi Sign Language).",2025-09-30,Quality Assurance,B-000003053,a0xUq000000VcKL,
unfoldingWord,006Uq000008gpr7IAA,2025 - Whole Bible for the Whole Nation of Vietnam,Q3: The minority language teams from Tai Dam will start the audio production of the NT in partnership with DAVAR and begin distribution of the audio NT in their heart language.,2025-09-30,Quality Assurance,B-000003054,a0xUq000000VcLx,
unfoldingWord,006Uq000008gpr7IAA,2025 - Whole Bible for the Whole Nation of Vietnam,Q4: Bible Translation into the heart languages of the Tai Dam and Nung will move forward with the translation of resources for the OT books,2025-12-31,Quality Assurance,B-000003055,a0xUq000000VcNZ,
unfoldingWord,006Uq000008gpr7IAA,2025 - Whole Bible for the Whole Nation of Vietnam,"Q4: One (1) training event (two days) in theological formation, tools, technologies, and translation process for minority languages teams from T?rin, Sedang, Katu, Nung, and Tai Dam church communities",2025-12-31,Quality Assurance,B-000003056,a0xUq000000VcPB,
unfoldingWord,006Uq000008gpr7IAA,2025 - Whole Bible for the Whole Nation of Vietnam,"Q4: The minority language team, Nung, will start the audio production of the NT in partnership with DAVAR and begin distribution of the audio NT in their heart language.",2025-12-31,Quality Assurance,B-000003057,a0xUq000000VcQn,
unfoldingWord,006Uq000008gpr7IAA,2025 - Whole Bible for the Whole Nation of Vietnam,Q4: Development of an AI-based orthography tool is expected to be in Beta testing by the end of Q4.,2025-12-31,Quality Assurance,B-000003058,a0xUq000000VcSP,
unfoldingWord,006Uq000008pfZBIAY,2025 - Bible Translation Capacity Building in Church Planting Movements/Disciple Making Movements,Q1: Training event 1: Convene and train 12-15 movement leaders from West Africa in Togo (January),2025-03-31,Quality Assurance,B-000003013,a0xUq000000VYqD,
unfoldingWord,006Uq000008pfZBIAY,2025 - Bible Translation Capacity Building in Church Planting Movements/Disciple Making Movements,"Q1: Training event 1: Convene and train 8-12 movement leaders from Northern India (February). Translate Scripture in six (6) languages: Magahi, Braj Bhasha, Tharu, Bajjika, Khadi Boli, and Angika.",2025-03-31,Quality Assurance,B-000003014,a0xUq000000VZW9,
unfoldingWord,006Uq000008pfZBIAY,2025 - Bible Translation Capacity Building in Church Planting Movements/Disciple Making Movements,Q1: Training event 1: Convene and train 8-12 movement leaders from Indonesia (March),2025-03-31,Quality Assurance,B-000003015,a0xUq000000VZXl,
unfoldingWord,006Uq000008pfZBIAY,2025 - Bible Translation Capacity Building in Church Planting Movements/Disciple Making Movements,Q2: Training event 2: Convene leaders who attended training in Q1 and add 6-8 new movement leaders from E Africa in Kenya (April),2025-06-30,Quality Assurance,B-000003016,a0xUq000000VZZN,
unfoldingWord,006Uq000008pfZBIAY,2025 - Bible Translation Capacity Building in Church Planting Movements/Disciple Making Movements,Q2: Training event 2: Convene leaders who attended training in Q1 and add 6-8 new movement leaders from W Africa in Togo (April),2025-06-30,Quality Assurance,B-000003017,a0xUq000000VZaz,
unfoldingWord,006Uq000008pfZBIAY,2025 - Bible Translation Capacity Building in Church Planting Movements/Disciple Making Movements,"Q2: Training event 2: Convene leaders who attended training in Q1 and add 6-8 new movement leaders from Northern India (May). Begin translation in three (3) new languages: Suryapuri, Bundeli, and Bagheli",2025-06-30,Quality Assurance,B-000003018,a0xUq000000VZeD,
unfoldingWord,006Uq000008pfZBIAY,2025 - Bible Translation Capacity Building in Church Planting Movements/Disciple Making Movements,Q2: Training event 2: Convene leaders who attended Program 1 in Q1 and add 6-8 new movement leaders from Indonesia (June),2025-06-30,Quality Assurance,B-000003019,a0xUq000000VZhR,
unfoldingWord,006Uq000008pfZBIAY,2025 - Bible Translation Capacity Building in Church Planting Movements/Disciple Making Movements,Q3: Assess and reconcile in-progress translation data with Progress.Bible,2025-09-30,Quality Assurance,B-000003020,a0xUq000000VZj3,
unfoldingWord,006Uq000008pfZBIAY,2025 - Bible Translation Capacity Building in Church Planting Movements/Disciple Making Movements,Q4: Training event 3: Convene leaders who attended training in Q1/Q2 and add 6-8 new movement leaders from E Africa in Kenya (October),2025-12-31,Quality Assurance,B-000003021,a0xUq000000VZkf,
unfoldingWord,006Uq000008pfZBIAY,2025 - Bible Translation Capacity Building in Church Planting Movements/Disciple Making Movements,Q4: Training event 3: Convene leaders who attended training in Q1/Q2 and add 6-8 new movement leaders from W Africa in Togo (October),2025-12-31,Quality Assurance,B-000003022,a0xUq000000VZmH,
unfoldingWord,006Uq000008pfZBIAY,2025 - Bible Translation Capacity Building in Church Planting Movements/Disciple Making Movements,Q4: Training event 3: Convene leaders who attended training in Q1/Q2 and add 6-8 new movement leaders from N India (November),2025-12-31,Quality Assurance,B-000003023,a0xUq000000VZnt,
unfoldingWord,006Uq000008pfZBIAY,2025 - Bible Translation Capacity Building in Church Planting Movements/Disciple Making Movements,Q4: Training event 3: Convene leaders who attended training in Q1/Q2 and add 6-8 new movement leaders from Indonesia (November),2025-12-31,Quality Assurance,B-000003024,a0xUq000000VZpV,
unfoldingWord,006Uq000008piDiIAI,2025 - Open Components Ecosystem,Q1: Research and document the progress of the adoption of VS Code extension-based technologies for textual and oral drafting,2025-03-31,Translation Tool,B-000003092,a0xUq000000Vt53,
unfoldingWord,006Uq000008piDiIAI,2025 - Open Components Ecosystem,Q2: Host OCE Sync meeting,2025-06-30,Translation Tool,B-000003093,a0xUq000000Vt8H,
unfoldingWord,006Uq000008piDiIAI,2025 - Open Components Ecosystem,Q2: Research where Codex extensions can be used to incorporate key features of existing translation tools in order to provide those features to all other VS Code compatible projects,2025-06-30,Translation Tool,B-000003094,a0xUq000000VtBV,
unfoldingWord,006Uq000008piDiIAI,2025 - Open Components Ecosystem,"Q2: Create at least two (2) new reusable, componentized offline solutions for Bible translation. These will most likely be Codex extensions.",2025-06-30,Translation Tool,B-000003095,a0xUq000000VtEj,
unfoldingWord,006Uq000008piDiIAI,2025 - Open Components Ecosystem,Q3: Host OCE Sync meeting,2025-09-30,Translation Tool,B-000003096,a0xUq000000VtHx,
unfoldingWord,006Uq000008piDiIAI,2025 - Open Components Ecosystem,Q3: Release at least two (2) new versions of AI extensions based on the feedback of the adoption research from Q1,2025-09-30,Translation Tool,B-000003097,a0xUq000000VtMn,
unfoldingWord,006Uq000008piDiIAI,2025 - Open Components Ecosystem,Q3: Begin the design and development of mobile app components that support offline translation work,2025-09-30,Translation Tool,B-000003098,a0xUq000000VtOP,
unfoldingWord,006Uq000008piDiIAI,2025 - Open Components Ecosystem,Q4: Host OCE Sync meeting,2025-12-31,Translation Tool,B-000003099,a0xUq000000VtQ1,
unfoldingWord,006Uq000008piDiIAI,2025 - Open Components Ecosystem,Q4: Release two (2) reusable components for use in mobile applications,2025-12-31,Translation Tool,B-000003100,a0xUq000000VtRd,
unfoldingWord,006Uq000008piDiIAI,2025 - Open Components Ecosystem,Q4: Release two (2) deep checking components as extensions for offline use,2025-12-31,Translation Tool,B-000003101,a0xUq000000VtUr,
unfoldingWord,006Uq000008pjo5IAA,2025 - Scribe,Q1: Speech-to-text AI API Integration: AI APIs for automatic transcription of audio recordings. This includes APIs for automatic training of models for the target language based on availability of data.,2025-03-31,Translation Tool,B-000003064,a0xUq000000VmTN,
unfoldingWord,006Uq000008pjo5IAA,2025 - Scribe,Q2: LLM-based chat assistant: Language-sensitive chatbot with the context of the user project to answer relevant questions for translators,2025-06-30,Translation Tool,B-000003065,a0xUq000000VmWb,
unfoldingWord,006Uq000008pjo5IAA,2025 - Scribe,Q2: Audio content version control: Connection with a hosted version control system for big data that includes both audio and video,2025-06-30,Translation Tool,B-000003066,a0xUq000000VmYD,
unfoldingWord,006Uq000008pjo5IAA,2025 - Scribe,Q3: Multi-user comments: text and audio: Support for project comments at various levels of granularity with multi-user and multi-model features,2025-09-30,Translation Tool,B-000003068,a0xUq000000VmYE,
unfoldingWord,006Uq000008pjo5IAA,2025 - Scribe,Q3: Role-based user management: Support for different user roles and assignment of work for different users by an administrator user,2025-09-30,Translation Tool,B-000003067,a0xUq000000Vmmj,
unfoldingWord,006Uq000008pjo5IAA,2025 - Scribe,Q4: Smart word/phrase suggestions: Use translation memory for word or phrase level suggestions based on existing project data for support during drafting,2025-12-31,Translation Tool,B-000003069,a0xUq000000Vmpx,
unfoldingWord,006Uq000008pjo5IAA,2025 - Scribe,Q4: Token-based AI audio editing: Intuitive and revolutionary UI for editing audio files directly using corresponding text without interacting with the waveform. This is applicable only for cases where there is either a manual or reliable automatic transcription of the audio file available.,2025-12-31,Translation Tool,B-000003070,a0xUq000000VmrZ,
unfoldingWord,006Uq000008pjo5IAA,2025 - Scribe,Q4: New documentation website: Fully revamp the documentation website with new text and video content to provide coverage for Scribe v2,2025-12-31,Translation Tool,B-000003071,a0xUq000000Vmun,
unfoldingWord,006Uq000008pjo5IAA,2025 - Scribe,Q4: Shared Editor Development: Add features and maintain codebase for the shared editor so as to continue successfully using it in Scribe v2,2025-12-31,Translation Tool,B-000003072,a0xUq000000VmwP,
United Bible Societies,006Uq00000936lFIAQ,Sign Language Translation Tool (SLTT),"Integration of Anonymization with SIL - Phase 1: Objective: Begin the integration process with SIL, focusing on requirements gathering and UI design. Benefits: Facilitate the inclusion of the SIL anonymizer in the SLTT workflow, simplifying video anonymization for translation teams.",2025-03-31,Translation Tool,B-000003223,a0xUq000000WGPp,
United Bible Societies,006Uq00000936lFIAQ,Sign Language Translation Tool (SLTT),"Ongoing Bug Fixes and Enhancements: Objective: Address and resolve a range of bugs and enhancements based on their impact and user feedback. Benefits: Regular bug fixes and optimizations contribute to a more stable and efficient system, reducing disruptions and enhancing overall performance. This continuous improvement ensures that the system remains user-friendly, reliable, and aligned with the evolving needs of its users.",2025-03-31,Translation Tool,B-000003224,a0xUq000000WGRR,
United Bible Societies,006Uq00000936lFIAQ,Sign Language Translation Tool (SLTT),"Standalone SLTT with Local Server - Phase 1: Objective: Begin implementation of the standalone version of SLTT, focusing on offline functionalities with local server integration. Benefits: Enable users to work offline with a simplified storage logic, leveraging LAN/proxy server capabilities.",2025-06-30,Translation Tool,B-000003225,a0xUq000000WGT3,
United Bible Societies,006Uq00000936lFIAQ,Sign Language Translation Tool (SLTT),"Integration of Anonymization with SIL - Phase 2: Objective: Receive training about the SIL API and demonstrate the ability to upload/download videos using the API. Benefits: Integrating the SIL anonymizer into SLTT simplifies the video anonymization process, making it easier for users to prepare privacy-protected videos for feedback and reviews. This leads to a smoother and more efficient workflow in translation projects.",2025-06-30,Translation Tool,B-000003226,a0xUq000000WGUf,
United Bible Societies,006Uq00000936lFIAQ,Sign Language Translation Tool (SLTT),"Ongoing Bug Fixes and Enhancements: Objective: Continue addressing and resolving bugs and enhancements as identified through user feedback and testing. Benefits: (Copied from Q1) Regular bug fixes and optimizations contribute to a more stable and efficient system, reducing disruptions and enhancing overall performance. This continuous improvement ensures that the system remains user-friendly, reliable, and aligned with the evolving needs of its users.",2025-06-30,Translation Tool,B-000003227,a0xUq000000WGWH,
United Bible Societies,006Uq00000936lFIAQ,Sign Language Translation Tool (SLTT),"Integration of Anonymization with SIL - Phase 3: Objective: Implement the UI for connecting with the SIL API and integrate it into the SLTT workflow. Benefits: A user-friendly interface for SIL integration simplifies the video anonymization process, making it easier and faster for users. This ensures a smooth workflow, reducing technical interruptions and allowing teams to focus more on their translation tasks.",2025-09-30,Translation Tool,B-000003228,a0xUq000000WGXt,
United Bible Societies,006Uq00000936lFIAQ,Sign Language Translation Tool (SLTT),"Ongoing Bug Fixes and Enhancements: Objective: Maintain focus on resolving identified bugs and implementing enhancements to support continuous improvement. Benefits: (Copied from Q1) Regular bug fixes and optimizations contribute to a more stable and efficient system, reducing disruptions and enhancing overall performance. This continuous improvement ensures that the system remains user-friendly, reliable, and aligned with the evolving needs of its users.",2025-09-30,Translation Tool,B-000003229,a0xUq000000WGZV,
United Bible Societies,006Uq00000936lFIAQ,Sign Language Translation Tool (SLTT),"Standalone SLTT with Local Server - Phase 2: Objective: Complete the implementation and testing of the standalone SLTT version, with a focus on stability and user adoption Benefits: Finalizing the standalone version will enhance user experience by providing a stable and secure platform that works offline, leading to greater acceptance and wider adoption among translation teams.",2025-12-31,Translation Tool,B-000003230,a0xUq000000WGb7,
United Bible Societies,006Uq00000936lFIAQ,Sign Language Translation Tool (SLTT),"Integration of Anonymization with SIL - Phase 4: Objective: Launch the SIL integration to select users for testing and gather feedback for further improvements. Benefits: Testing the integration with a controlled group will ensure that any issues are identified and resolved, leading to a more polished and effective final rollout. This user-centric approach helps tailor the integration to better meet user needs.",2025-12-31,Translation Tool,B-000003231,a0xUq000000WGcj,
United Bible Societies,006Uq00000936lFIAQ,Sign Language Translation Tool (SLTT),"Ongoing Bug Fixes and Enhancements: Objective: Conclude the year with continued resolution of bugs and implementation of enhancements, ensuring a stable and improved user experience Benefits: (Copied from Q1) Regular bug fixes and optimizations contribute to a more stable and efficient system, reducing disruptions and enhancing overall performance. This continuous improvement ensures that the system remains user-friendly, reliable, and aligned with the evolving needs of its users.",2025-12-31,Translation Tool,B-000003232,a0xUq000000WGeL,
United Bible Societies,006Uq00000936lFIAQ,Sign Language Translation Tool (SLTT),"Training Goal: Objective: Train 10 regional teams and onboard at least two new substitute trainers Benefits: Providing training will empower local teams, strengthen community engagement, and ensure that more teams are equipped to use SLTT effectively, contributing to the overall success of translation projects. Training more trainers will ensure that training events are not bottlenecked by the availability of the product manager, but scale with teams in each region.",2025-12-31,Translation Tool,B-000003233,a0xUq000000WGfx,
United Bible Societies,006Uq0000093CQrIAM,UBSA OD - Bible Societies Oceania Alliance (BSO) Capacity Building,"Collective Impact Milestone 1a: 15% increase, on 2022, in BSO Ministry projects BSPNG Need to increase the number of Bible Translations 1 new AAG project to be started (in planning/preparation now) 1 non-AAG translation projects to be started",2025-03-31,Organizational Development,B-000003240,a0xUq000000WIbJ,
United Bible Societies,006Uq0000093CQrIAM,UBSA OD - Bible Societies Oceania Alliance (BSO) Capacity Building,"Sustainability Milestone 3: BSSP Vanuatu Translation needs are significant, & the local churches have invited BSSP to play a greater part. BSSP wants to decentralize its core Translation function to Vanuatu, (where the majority of major BSSP translations are) & therefore be based for continuity & missional impact acceleration. To encourage project sustainability & ownership Plan a purpose-built Translation Centre to serve as a translation & collaboration meeting hub. Develop plans & identify builders to achieve the desired outcomes within the budget. Receive new Lease Extension confirmation and Building Authority approvals Update of ISP Project for funding Building Project to proceed possibly in Q4 2025",2025-06-30,Organizational Development,B-000003241,a0xUq000000WIeX,
United Bible Societies,006Uq0000093CQrIAM,UBSA OD - Bible Societies Oceania Alliance (BSO) Capacity Building,"Organizational Effectiveness Milestone 7a: Completion of IT upgrades. BSPNG Operational Effectiveness Supply/upgrade computers/laptops for staff. Supply remote translation teams with computers, solar chargers & internet devices. Install Koki Office server, firewall & optimize internet/network. Provide IT training & protocols.",2025-06-30,Organizational Development,B-000003242,a0xUq000000WIg9,
United Bible Societies,006Uq0000093CQrIAM,UBSA OD - Bible Societies Oceania Alliance (BSO) Capacity Building,Collective Impact Milestone 5: Operation of at least five Bible Translation & Engagement National Collaboration Groups by BSO. Including the utilization of Rev79 in: Vanuatu Tonga Fiji Solomon Islands Australia (New Caledonia to be explored further in Oct 24 at the South Pacific Bible Forum),2025-09-30,Organizational Development,B-000003243,a0xUq000000WIjN,
United Bible Societies,006Uq0000093CQrIAM,UBSA OD - Bible Societies Oceania Alliance (BSO) Capacity Building,Collective Impact Milestone 6a: Implementation of Rev79 software within BSO Continued use & testing in RIMS Australia,2025-06-30,Organizational Development,B-000003245,a0xUq000000WImb,
United Bible Societies,006Uq0000093CQrIAM,UBSA OD - Bible Societies Oceania Alliance (BSO) Capacity Building,"Collective Impact Milestone 1b: 15% increase, on 2022, in BSO Ministry projects BSA RIMs Increase in projects & partnerships: There are 53 Indigenous Languages with some part of the Bible today. Only 1 has a complete Bible. 4 new engagement projects.",2025-06-30,Organizational Development,B-000003300,a0xUq000000WLSj,
United Bible Societies,006Uq0000093CQrIAM,UBSA OD - Bible Societies Oceania Alliance (BSO) Capacity Building,Sustainability Milestone 2: BSSP feasibility study & decision on Fiji property development for income generation. Develop a property plan based on professional input to ensure properties are optimized for ministry use & /or income generation. Develop agreed initiatives into a Solomon ISP project to elicit donor support.,2025-06-30,Organizational Development,B-000003301,a0xUq000000WLUL,
United Bible Societies,006Uq0000093CQrIAM,UBSA OD - Bible Societies Oceania Alliance (BSO) Capacity Building,"Organizational Effectiveness Milestone 4a: Funding of essential BSO operational posts to BSA, RIMS, BSSP & BSPNG. BSSP High workload with HR/ Operations/ Admin/ Projects & growing project portfolios Review organizational structure & develop a more effective structure. Input for this will also come from BSSP OPR with TSC Global Partners. Appoint current staff in new roles as relevant. Newly created Role ? Events Manager (recruited) Revised role ? Trade and Distribution Manager (vacant) HR Role will be vacant once (Ledua) transitions to Chief of Missions and Projects.",2025-06-30,Organizational Development,B-000003303,a0xUq000000WLZB,
United Bible Societies,006Uq0000093CQrIAM,UBSA OD - Bible Societies Oceania Alliance (BSO) Capacity Building,"Collective Impact Milestone 1c: 15% increase, on 2022, in BSO Ministry projects BSPNG Need to increase the number of Bible Translations Consolidate current Translation Projects ensuring quality, efficiency, progress, good reporting. Identify new translation projects to commence in 2025 & initiate planning, consultation & research. BSA RIMs Increase in projects & partnerships: There are 53 Indigenous Languages with some part of the Bible today. Only 1 has a complete Bible. 5 new translation projects, based on expressions of interest",2025-09-30,Organizational Development,B-000003304,a0xUq000000WLan,
United Bible Societies,006Uq0000093CQrIAM,UBSA OD - Bible Societies Oceania Alliance (BSO) Capacity Building,Collective Impact Milestone 3a: Piloting of End2 End in Fiji/Vanuatu. With a view to roll out across BSO if successful. Appoint Coordinator of the End-to-End Project,2025-03-31,Organizational Development,B-000003305,a0xUq000000WLe1,
United Bible Societies,006Uq0000093CQrIAM,UBSA OD - Bible Societies Oceania Alliance (BSO) Capacity Building,Sustainability Milestone 5: Inclusion into BSO of Bible Society New Zealand (under discussion with BSNZ),2025-03-31,Organizational Development,B-000003313,a0xUq000000WMrp,
United Bible Societies,006Uq0000093CQrIAM,UBSA OD - Bible Societies Oceania Alliance (BSO) Capacity Building,Collective Impact Milestone 6b: Implementation of Rev79 software within BSO BSPNG,2025-09-30,Organizational Development,B-000003314,a0xUq000000WN7x,
United Bible Societies,006Uq0000093CQrIAM,UBSA OD - Bible Societies Oceania Alliance (BSO) Capacity Building,"Organizational Effectiveness Milestone 4b: Funding of essential BSO operational posts to BSA, RIMS, BSSP & BSPNG. BSSP High workload with HR/ Operations/ Admin/ Projects & growing project portfolios Identify new roles to be recruited & once approved proceed with recruitment.",2025-09-30,Organizational Development,B-000003315,a0xUq000000WN9Z,
United Bible Societies,006Uq0000093CQrIAM,UBSA OD - Bible Societies Oceania Alliance (BSO) Capacity Building,"Organizational Effectiveness Milestone 7b: Completion of IT upgrades. BSSP IT: Completion of IT upgrades. The Translation Teams have increasing data needs. Finalize server upgrade, POS hardware/software upgrade - completed. Migrate to Xero Finance Software: implementation & training - Completed. Install a Warehouse inventory management system ? Training to follow. Staff training on network & relevant systems/software - Awaiting IT Director next visit. Complete upgrade of laptops - incl. for typesetter ? completed. BSSP Web Page re-designed Laptop replacement for Fiji Missions Coordinator & Trade Officer",2025-09-30,Organizational Development,B-000003316,a0xUq000000WNBB,
United Bible Societies,006Uq0000093CQrIAM,UBSA OD - Bible Societies Oceania Alliance (BSO) Capacity Building,Sustainability Milestone 4: Holding of the first ?illumiNations? Oceania,2025-09-30,Organizational Development,B-000003317,a0xUq000000WNCn,
United Bible Societies,006Uq0000093CQrIAM,UBSA OD - Bible Societies Oceania Alliance (BSO) Capacity Building,"Collective Impact Milestone 1d: 15% increase, on 2022, in BSO Ministry projects BSPNG Need to increase number of Bible Translations 8 continuing translation projects 1 continuing Bible Engagement (non-translation) project BSPNG Need to re-establish role of a leading PNG Bible Distributor & expand to meet demand of BSPNG in Bible provision, distribution, & sales. A minimum of 2 scheduled print runs, increasing to 3 (or 4 ? depending on demand) in 2026. Improved ability to meet scripture demand, with reduced lead times / improved pricing ? as evidenced by increased scripture orders placed by partners/customers, due to optimized supply chain management, including demand assessment & forecasting, effective stock planning, pricing, distribution channels, partner relationships. Digitization of all BSPNG scripture texts (Ongoing ? to provide flexibility of printer selection and production quality). BSSP 4 new AAG projects started 9 non-AAG translation projects to be started 24 continuing translation projects 6 continuing Bible Engagement (non-translation) projects Recruitment of Translation Director trainee (see OE Milestone below) Reorganization of BSSP to maximize ministry impact (see OE Milestone below) Recruitment of national Managers (see OE Milestone below) BSA RIMs Increase projects & partnerships: 53 Indigenous Languages with part of Bible. Only 1 has full Bible. 5 continuing translation projects 4 continuing Bible Engagement (non-trans) projects",2025-12-31,Organizational Development,B-000003320,a0xUq000000WNKr,
United Bible Societies,006Uq0000093CQrIAM,UBSA OD - Bible Societies Oceania Alliance (BSO) Capacity Building,Collective Impact Milestone 2b: Piloting of AVTT. With a view to roll out across BSO The South Pacific have languages with potential to pilot Oral Bible Translation OBT using AVTT tool: 2. Pilot focus Areas: - Fiji - Vanuatu,2025-12-31,Organizational Development,B-000003322,a0xUq000000WNO5,
United Bible Societies,006Uq0000093CQrIAM,UBSA OD - Bible Societies Oceania Alliance (BSO) Capacity Building,"Organizational Effectiveness Milestone 7c: Completion of IT upgrades. BSA RIMs Increase in projects & partnerships: Increased IT utilization. Optimize IT hardware, software, connectivity & training for greater efficiency & effectiveness in translation. Providing: Paratext support; rev79 support; Scripture Builder app development for RIMS & for the wider National Collaboration partners.",2025-12-31,Organizational Development,B-000003338,a0xUq000000WNO6,
United Bible Societies,006Uq0000093CQrIAM,UBSA OD - Bible Societies Oceania Alliance (BSO) Capacity Building,Collective Impact Milestone 3b: Piloting of End2 End in Fiji/Vanuatu. With a view to roll out across BSO if successful. Training and pilot in Fiji Training & piloting in Vanuatu,2025-12-31,Organizational Development,B-000003323,a0xUq000000WNPh,
United Bible Societies,006Uq0000093CQrIAM,UBSA OD - Bible Societies Oceania Alliance (BSO) Capacity Building,"Collective Impact Milestone 4: Publishing new translations. Publishing strategy and implementation plan to be developed, including schedules for new translations to be published New translations ready to be published to be incorporated into existing print schedules to optimize timing, availability and economies of scale",2025-12-31,Organizational Development,B-000003324,a0xUq000000WNRJ,
United Bible Societies,006Uq0000093CQrIAM,UBSA OD - Bible Societies Oceania Alliance (BSO) Capacity Building,"Collective Impact Milestone 6c: Implementation of Rev79 software within BSO BSSP: Vanuatu, Fiji, Solomon Islands, Tonga & Samoa ? the 5 BSSP focus nations for 2025-28) plus New Caledonia. Collated by BSA for BSO joint planning & partnership development.",2025-12-31,Organizational Development,B-000003325,a0xUq000000WNSv,
